"dataset","stage","object_or_file","variable","role","type","source_variable_in_script","cdc_variable_name","filter_or_exclusion","final_coding_or_transformation","description","created_by","used_in","notes"
"brfss_2023","processed","X","X","covT_input","numeric vector","X_AGEG5YR","_AGEG5YR","Exclude X_AGEG5YR value 14","Age group mapped to representative age and then standardized with scale(age_raw)","Standardized age variable passed to fit_bnpmccr as covT","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Representative ages are 21, 27, 32, 37, 42, 47, 52, 57, 62, 67, 72, 77, and 82"
"brfss_2023","processed","age_raw","age_raw","age_metadata","numeric vector","X_AGEG5YR","_AGEG5YR","Exclude X_AGEG5YR value 14","Age group mapped to representative age without standardization","Unstandardized representative age saved for documentation and checking","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","X is the standardized version of age_raw"
"brfss_2023","processed","X3","Gender","explanatory_variable","binary numeric","SEXVAR","SEXVAR","No explicit missing-code exclusion in the preparation script","SEXVAR 2 -> 0; all other retained values -> 1","Gender variable in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 1 of X3"
"brfss_2023","processed","X3","Race","explanatory_variable","binary numeric","X_RACEG21","_RACEG21","Exclude missing X_RACEG21; exclude X_RACEG21 value 9","X_RACEG21 1 -> 1; all other retained values -> 0","Race group indicator in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 2 of X3"
"brfss_2023","processed","X3","Marriage","explanatory_variable","binary numeric","MARITAL","MARITAL","Exclude MARITAL value 9; exclude missing MARITAL","MARITAL 1 -> 1; all other retained values -> 0","Marriage indicator in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 3 of X3"
"brfss_2023","processed","X3","Education","explanatory_variable","ordinal numeric","EDUCA","EDUCA","Exclude EDUCA value 9","EDUCA - 1","Education variable in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 4 of X3"
"brfss_2023","processed","X3","NumChild","explanatory_variable","ordinal numeric","X_CHLDCNT","_CHLDCNT","Exclude X_CHLDCNT value 9","X_CHLDCNT - 1","Number-of-children category variable in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 5 of X3"
"brfss_2023","processed","X3","Employment","explanatory_variable","binary numeric","EMPLOY1","EMPLOY1","Exclude EMPLOY1 value 9; exclude missing EMPLOY1","EMPLOY1 values 1 or 2 -> 1; all other retained values -> 0","Employment indicator in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 6 of X3"
"brfss_2023","processed","X3","Income","explanatory_variable","ordinal numeric","X_INCOMG1","_INCOMG1","Exclude X_INCOMG1 value 9","X_INCOMG1 - 1","Income group variable in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 7 of X3"
"brfss_2023","processed","X3","OwnHome","explanatory_variable","binary numeric","RENTHOM1","RENTHOM1","Exclude RENTHOM1 values 7 and 9; exclude missing RENTHOM1","RENTHOM1 1 -> 1; all other retained values -> 0","Home ownership indicator in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 8 of X3"
"brfss_2023","processed","X3","Smoking","explanatory_variable","binary numeric","X_RFSMOK3","_RFSMOK3","Exclude X_RFSMOK3 value 9","X_RFSMOK3 - 1","Smoking indicator in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 9 of X3"
"brfss_2023","processed","X3","HeavyDrink","explanatory_variable","binary numeric","X_RFDRHV8","_RFDRHV8","Exclude X_RFDRHV8 value 9","X_RFDRHV8 - 1","Heavy-drinking indicator in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 10 of X3"
"brfss_2023","processed","X3","Insurance","explanatory_variable","binary numeric","X_HLTHPL1","_HLTHPL1","Exclude X_HLTHPL1 value 9","X_HLTHPL1 1 -> 1; all other retained values -> 0","Health insurance indicator in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 11 of X3"
"brfss_2023","processed","X3","PhyRec","explanatory_variable","integer numeric","X_PAINDX3; X_PASTRNG","_PAINDX3; _PASTRNG","Exclude X_PAINDX3 value 9; exclude X_PASTRNG value 9","Indicator from X_PAINDX3 plus indicator from X_PASTRNG; each raw value 1 -> 1 and all other retained values -> 0","Combined physical activity and muscle-strengthening variable in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 12 of X3; temporary Muscle column is added to PhyRec and then dropped"
"brfss_2023","processed","X3","Urban","explanatory_variable","binary numeric","X_URBSTAT","_URBSTAT","Exclude missing X_URBSTAT","X_URBSTAT 1 -> 1; all other retained values -> 0","Urban status indicator in the X3 predictor matrix","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","Column 13 of X3"
"brfss_2023","processed","responseType","responseType","model_metadata","character vector","NA","NA","Length must equal ncol(Y)","c(ordinal, binary, binary, binary, binary, binary, binary, Gaussian)","Response-type vector aligned with columns of Y","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","The preparation script checks ncol(Y) == length(responseType)"
"brfss_2023","filtering","analysis_data","X_RFBMI5","filter_only","categorical","X_RFBMI5","_RFBMI5","Exclude X_RFBMI5 value 9","Not included in final saved object","BMI-related filtering variable used to define the analytic sample","scripts/02_prepare_brfss_2023.R","scripts/02_prepare_brfss_2023.R","Used only for sample restriction"
"brfss_2023","filtering","analysis_data","X_ASTHMS1","filter_only","categorical","X_ASTHMS1","_ASTHMS1","Exclude X_ASTHMS1 value 9","Not included in final saved object","Asthma-related filtering variable used to define the analytic sample","scripts/02_prepare_brfss_2023.R","scripts/02_prepare_brfss_2023.R","Used only for sample restriction"
"brfss_2023","filtering","analysis_data","X_BMI5CAT","filter_only","categorical","X_BMI5CAT","_BMI5CAT","Exclude missing X_BMI5CAT","Not included in final saved object","BMI-category filtering variable used to define the analytic sample","scripts/02_prepare_brfss_2023.R","scripts/02_prepare_brfss_2023.R","Used only for sample restriction"
"brfss_2023","filtering","analysis_data","analysis_sample","sample_definition","implicit","all required variables","all required variables","Rows must pass all exclusion rules in scripts/02_prepare_brfss_2023.R; rows with DIABETE4 value 2 are removed before response recoding","Complete-case analytic sample after filtering and recoding","Defines the sample used for the BRFSS 2023 application","scripts/02_prepare_brfss_2023.R","scripts/03_fit_brfss_2023.R","The final sample size is printed by scripts/02_prepare_brfss_2023.R"
